Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.67     0.00        1     0.00     0.00  rrtm_kgb9_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb16_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb17_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb18_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb19_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb20_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb21_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb22_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb23_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb24_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb25_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb26_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb27_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb28_
  0.00      1.67     0.00        1     0.00     0.00  srtm_cmbgb29_
  0.00      1.67     0.00        1     0.00     0.00  srtm_init_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb16_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb17_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb18_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb19_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb20_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb21_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb22_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb23_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb24_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb25_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb26_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb27_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb28_
  0.00      1.67     0.00        1     0.00     0.00  srtm_kgb29_
  0.00      1.67     0.00        1     0.00     0.00  surrtab_
  0.00      1.67     0.00        1     0.00     0.00  surrtftr_
  0.00      1.67     0.00        1     0.00     0.00  surrtpk_
  0.00      1.67     0.00        1     0.00     0.00  surrtrf_
  0.00      1.67     0.00        1     0.00     0.00  susrtm_

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.60% of 1.67 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.4    0.00    1.66                 frame_dummy [1]
                0.00    1.66       1/1           __radiation_interface_MOD_radiation [2]
-----------------------------------------------
                0.00    1.66       1/1           frame_dummy [1]
[2]     99.4    0.00    1.66       1         __radiation_interface_MOD_radiation [2]
                0.26    0.44      12/12          __radiation_ifs_rrtm_MOD_gas_optics [3]
                0.47    0.15      12/12          __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw [4]
                0.13    0.08      10/10          __radiation_tripleclouds_lw_MOD_solver_tripleclouds_lw [6]
                0.11    0.00      12/12          __radiation_aerosol_optics_MOD_add_aerosol_optics [8]
                0.00    0.02      12/12          __radiation_cloud_optics_MOD_cloud_optics [24]
                0.00    0.00      12/12          __radiation_single_level_MOD_get_albedos [154]
                0.00    0.00      12/12          __radiation_cloud_MOD_crop_cloud_fraction [148]
                0.00    0.00      12/12          __radiation_flux_MOD_calc_surface_spectral [149]
                0.00    0.00      12/12          __radiation_flux_MOD_calc_toa_spectral [150]
-----------------------------------------------
                0.26    0.44      12/12          __radiation_interface_MOD_radiation [2]
[3]     41.9    0.26    0.44      12         __radiation_ifs_rrtm_MOD_gas_optics [3]
                0.06    0.24      12/12          rrtm_gas_optical_depth_ [5]
                0.00    0.08      12/12          srtm_gas_optical_depth_ [9]
                0.03    0.00      12/12          __radiation_ifs_rrtm_MOD_planck_function_atmos [13]
                0.01    0.00      12/12          rrtm_prepare_gases_ [25]
                0.01    0.00      12/12          rrtm_setcoef_140gp_ [26]
                0.01    0.00      11/11          srtm_setcoef_ [33]
                0.00    0.00      12/12          __radiation_gas_MOD_assert_units_gas [151]
                0.00    0.00      12/12          __radiation_ifs_rrtm_MOD_planck_function_surf [153]
-----------------------------------------------
                0.47    0.15      12/12          __radiation_interface_MOD_radiation [2]
[4]     37.1    0.47    0.15      12         __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw [4]
                0.13    0.00     826/826         __radiation_two_stream_MOD_calc_ref_trans_sw [7]
                0.02    0.00    9860/9860        __radiation_matrix_MOD_singlemat_x_vec_sw [21]
                0.00    0.00     358/697         __radiation_overlap_MOD_calc_overlap_matrices_nocol [134]
                0.00    0.00      12/24          __radiation_regions_MOD_calc_region_properties [141]
-----------------------------------------------
                0.06    0.24      12/12          __radiation_ifs_rrtm_MOD_gas_optics [3]
[5]     18.0    0.06    0.24      12         rrtm_gas_optical_depth_ [5]
                0.03    0.00      12/12          rrtm_taumol1_ [11]
                0.03    0.00      12/12          rrtm_taumol3_ [12]
                0.02    0.00      12/12          rrtm_taumol4_ [15]
                0.02    0.00      12/12          rrtm_taumol5_ [16]
                0.02    0.00      12/12          rrtm_taumol7_ [17]
                0.02    0.00      12/12          rrtm_taumol8_ [18]
                0.02    0.00      12/12          rrtm_taumol9_ [19]
                0.02    0.00      12/12          rrtm_taumol11_ [14]
                0.01    0.00      12/12          rrtm_taumol2_ [31]
                0.01    0.00      12/12          rrtm_taumol6_ [32]
                0.01    0.00      12/12          rrtm_taumol10_ [27]
                0.01    0.00      12/12          rrtm_taumol12_ [28]
                0.01    0.00      12/12          rrtm_taumol13_ [29]
                0.01    0.00      12/12          rrtm_taumol15_ [30]
                0.00    0.00      12/12          rrtm_taumol14_ [47]
                0.00    0.00      12/12          rrtm_taumol16_ [48]
-----------------------------------------------
                0.13    0.08      10/10          __radiation_interface_MOD_radiation [2]
[6]     12.6    0.13    0.08      10         __radiation_tripleclouds_lw_MOD_solver_tripleclouds_lw [6]
                0.05    0.00    5026/5026        __radiation_two_stream_MOD_calc_ref_trans_lw [10]
                0.02    0.00     342/342         __radiation_two_stream_MOD_calc_no_scattering_transmittance_lw [23]
                0.01    0.00   10909/10909       __radiation_matrix_MOD_singlemat_x_vec_lw [42]
                0.00    0.00     343/343         __radiation_adding_ica_lw_MOD_calc_fluxes_no_scattering_lw [136]
                0.00    0.00     339/697         __radiation_overlap_MOD_calc_overlap_matrices_nocol [134]
                0.00    0.00      12/24          __radiation_regions_MOD_calc_region_properties [141]
-----------------------------------------------
                0.13    0.00     826/826         __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw [4]
[7]      7.8    0.13    0.00     826         __radiation_two_stream_MOD_calc_ref_trans_sw [7]
-----------------------------------------------
                0.11    0.00      12/12          __radiation_interface_MOD_radiation [2]
[8]      6.6    0.11    0.00      12         __radiation_aerosol_optics_MOD_add_aerosol_optics [8]
                0.00    0.00   46281/46281       __radiation_aerosol_optics_data_MOD_calc_rh_index [130]
                0.00    0.00     347/347         __radiation_aerosol_optics_MOD_delta_eddington_extensive_vec [135]
                0.00    0.00      11/11          __radiation_gas_MOD_get_gas [158]
-----------------------------------------------
                0.00    0.08      12/12          __radiation_ifs_rrtm_MOD_gas_optics [3]
[9]      4.8    0.00    0.08      12         srtm_gas_optical_depth_ [9]
                0.02    0.00      10/10          srtm_taumol17_ [20]
                0.01    0.00      10/10          srtm_taumol16_ [34]
                0.01    0.00      10/10          srtm_taumol20_ [35]
                0.01    0.00      10/10          srtm_taumol21_ [36]
                0.01    0.00      10/10          srtm_taumol23_ [37]
                0.01    0.00      10/10          srtm_taumol24_ [38]
                0.01    0.00      10/10          srtm_taumol29_ [39]
                0.00    0.00      10/10          srtm_taumol18_ [49]
                0.00    0.00      10/10          srtm_taumol19_ [50]
                0.00    0.00      10/10          srtm_taumol22_ [51]
                0.00    0.00      10/10          srtm_taumol26_ [52]
                0.00    0.00      10/10          srtm_taumol27_ [53]
                0.00    0.00      10/10          srtm_taumol28_ [54]
                0.00    0.00       9/9           srtm_taumol25_ [55]
-----------------------------------------------
                0.05    0.00    5026/5026        __radiation_tripleclouds_lw_MOD_solver_tripleclouds_lw [6]
[10]     3.0    0.05    0.00    5026         __radiation_two_stream_MOD_calc_ref_trans_lw [10]
-----------------------------------------------
                0.03    0.00      12/12          rrtm_gas_optical_depth_ [5]
