Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb12_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb13_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb14_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb15_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb16_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb1_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb2_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb3_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb4_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb5_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb6_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb7_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb8_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb9_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_init_140gp_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb10_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb11_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb12_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb13_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb14_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb15_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb16_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb1_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb2_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb3_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb4_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb5_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb6_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb7_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb8_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_kgb9_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb16_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb17_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb18_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb19_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb20_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb21_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb22_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb23_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb24_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb25_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb26_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb27_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb28_
  0.00      1.91     0.00        1     0.00     0.00  srtm_cmbgb29_
  0.00      1.91     0.00        1     0.00     0.00  srtm_init_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb16_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb17_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb18_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb19_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb20_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb21_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb22_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb23_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb24_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb25_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb26_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb27_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb28_
  0.00      1.91     0.00        1     0.00     0.00  srtm_kgb29_
  0.00      1.91     0.00        1     0.00     0.00  surrtab_
  0.00      1.91     0.00        1     0.00     0.00  surrtftr_
  0.00      1.91     0.00        1     0.00     0.00  surrtpk_
  0.00      1.91     0.00        1     0.00     0.00  surrtrf_
  0.00      1.91     0.00        1     0.00     0.00  susrtm_

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.52% of 1.91 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    1.91                 frame_dummy [1]
                0.00    1.91       3/3           __radiation_interface_MOD_radiation [2]
-----------------------------------------------
                0.00    1.91       3/3           frame_dummy [1]
[2]    100.0    0.00    1.91       3         __radiation_interface_MOD_radiation [2]
                0.26    0.47      12/12          __radiation_ifs_rrtm_MOD_gas_optics [3]
                0.49    0.16      10/10          __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw [4]
                0.20    0.18      12/12          __radiation_tripleclouds_lw_MOD_solver_tripleclouds_lw [5]
                0.12    0.00      11/11          __radiation_aerosol_optics_MOD_add_aerosol_optics [8]
                0.01    0.02      12/12          __radiation_cloud_optics_MOD_cloud_optics [16]
                0.00    0.00      12/12          __radiation_single_level_MOD_get_albedos [149]
                0.00    0.00      12/12          __radiation_flux_MOD_calc_surface_spectral [143]
                0.00    0.00      12/12          __radiation_flux_MOD_calc_toa_spectral [144]
                0.00    0.00      10/10          __radiation_cloud_MOD_crop_cloud_fraction [154]
-----------------------------------------------
                0.26    0.47      12/12          __radiation_interface_MOD_radiation [2]
[3]     38.1    0.26    0.47      12         __radiation_ifs_rrtm_MOD_gas_optics [3]
                0.06    0.16      12/12          rrtm_gas_optical_depth_ [6]
                0.04    0.10      12/12          srtm_gas_optical_depth_ [7]
                0.08    0.00      12/12          __radiation_ifs_rrtm_MOD_planck_function_atmos [12]
                0.01    0.00      12/12          rrtm_prepare_gases_ [26]
                0.01    0.00      12/12          rrtm_setcoef_140gp_ [27]
                0.01    0.00      12/12          srtm_setcoef_ [28]
                0.00    0.00      12/12          __radiation_gas_MOD_assert_units_gas [145]
                0.00    0.00      12/12          __radiation_ifs_rrtm_MOD_planck_function_surf [148]
-----------------------------------------------
                0.49    0.16      10/10          __radiation_interface_MOD_radiation [2]
[4]     34.0    0.49    0.16      10         __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw [4]
                0.12    0.00    4696/4696        __radiation_two_stream_MOD_calc_ref_trans_sw [9]
                0.04    0.00    9765/20692       __radiation_matrix_MOD_singlemat_x_vec [11]
                0.00    0.00      12/23          __radiation_overlap_MOD_calc_overlap_matrices [136]
                0.00    0.00      10/22          __radiation_regions_MOD_calc_region_properties [137]
-----------------------------------------------
                0.20    0.18      12/12          __radiation_interface_MOD_radiation [2]
[5]     20.1    0.20    0.18      12         __radiation_tripleclouds_lw_MOD_solver_tripleclouds_lw [5]
                0.09    0.00   10098/10098       __radiation_two_stream_MOD_calc_ref_trans_lw [10]
                0.04    0.00   10927/20692       __radiation_matrix_MOD_singlemat_x_vec [11]
                0.03    0.00     349/349         __radiation_adding_ica_lw_MOD_calc_fluxes_no_scattering_lw [15]
                0.02    0.00     349/349         __radiation_two_stream_MOD_calc_no_scattering_transmittance_lw [25]
                0.00    0.00      12/22          __radiation_regions_MOD_calc_region_properties [137]
                0.00    0.00      11/23          __radiation_overlap_MOD_calc_overlap_matrices [136]
-----------------------------------------------
                0.06    0.16      12/12          __radiation_ifs_rrtm_MOD_gas_optics [3]
[6]     11.5    0.06    0.16      12         rrtm_gas_optical_depth_ [6]
                0.03    0.00      12/12          rrtm_taumol5_ [13]
                0.03    0.00      12/12          rrtm_taumol8_ [14]
                0.02    0.00      12/12          rrtm_taumol1_ [18]
