Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.50     0.00        1     0.00     0.00  __radiation_config_MOD_read_config_from_namelist
  0.00      1.50     0.00        1     0.00     0.00  __radiation_flux_MOD_allocate_flux_type
  0.00      1.50     0.00        1     0.00     0.00  __radiation_flux_MOD_out_of_physical_bounds
  0.00      1.50     0.00        1     0.00     0.00  __radiation_gas_MOD_allocate_gas
  0.00      1.50     0.00        1     0.00     0.00  __radiation_gas_MOD_deallocate_gas
  0.00      1.50     0.00        1     0.00     0.00  __radiation_gas_MOD_out_of_physical_bounds
  0.00      1.50     0.00        1     0.00     0.00  __radiation_gas_MOD_put_well_mixed_gas
  0.00      1.50     0.00        1     0.00     0.00  __radiation_gas_MOD_set_units_gas
  0.00      1.50     0.00        1     0.00     0.00  __radiation_ifs_rrtm_MOD_set_gas_units
  0.00      1.50     0.00        1     0.00    10.00  __radiation_ifs_rrtm_MOD_setup_gas_optics
  0.00      1.50     0.00        1     0.00     0.00  __radiation_interface_MOD_set_gas_units
  0.00      1.50     0.00        1     0.00    10.00  __radiation_interface_MOD_setup_radiation
  0.00      1.50     0.00        1     0.00     0.00  __radiation_save_MOD_save_fluxes
  0.00      1.50     0.00        1     0.00     0.00  __radiation_single_level_MOD_init_seed_simple
  0.00      1.50     0.00        1     0.00     0.00  __radiation_single_level_MOD_out_of_physical_bounds
  0.00      1.50     0.00        1     0.00     0.00  __radiation_thermodynamics_MOD_calc_saturation_wrt_liquid
  0.00      1.50     0.00        1     0.00     0.00  __radiation_thermodynamics_MOD_out_of_physical_bounds
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb10_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb11_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb12_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb13_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb14_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb15_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb16_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb1_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb2_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb3_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb4_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb5_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb6_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb7_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb8_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_cmbgb9_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_init_140gp_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb10_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb11_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb12_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb13_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb14_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb15_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb16_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb1_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb2_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb3_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb4_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb5_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb6_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb7_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb8_
  0.00      1.50     0.00        1     0.00     0.00  rrtm_kgb9_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb16_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb17_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb18_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb19_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb20_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb21_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb22_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb23_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb24_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb25_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb26_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb27_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb28_
  0.00      1.50     0.00        1     0.00     0.00  srtm_cmbgb29_
  0.00      1.50     0.00        1     0.00    10.00  srtm_init_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb16_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb18_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb19_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb20_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb21_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb22_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb23_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb24_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb25_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb26_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb27_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb28_
  0.00      1.50     0.00        1     0.00     0.00  srtm_kgb29_
  0.00      1.50     0.00        1     0.00     0.00  surrtab_
  0.00      1.50     0.00        1     0.00     0.00  surrtftr_
  0.00      1.50     0.00        1     0.00     0.00  surrtpk_
  0.00      1.50     0.00        1     0.00     0.00  surrtrf_
  0.00      1.50     0.00        1     0.00     0.00  susrtm_

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

